,AA,AC,BB,BD,BG,BI,BJ,BL,BS,CC,CN,CQ,CS,CW,FL,GA,GH,GZ,HW,IN,IR,JJ,JK,KK,LA,LC,LP,MB,MK,MM,MN,MO,MR,NC,NJ,OH,OK,PA,PD,PL,PR,RM,RT,SB,SG,SH,SN,SO,SR,SS,SY,TR,TX,UC,UK,VW,XA
GA,,,,,,,,,,,,,,,,0.229474073,0.159741453,0.021194137,0.122287419,0.160374811,0.093572798,-0.117045251,-0.021402296,0.07848839,0.164659612,0.148673667,-0.053900773,0.110971859,0.017124824,0.079498787,0.159154386,0.049967236,0.206112499,0.114583737,0.010241609,0.160917304,0.166272309,0.159557289,-0.185264654,0.053095589,0.154064412,0.050967409,-0.020830032,-0.035966742,0.01325818,-0.039613625,0.148137185,-0.079393681,-0.103934037,0.073645945,-0.089192378,0.260381982,0.15234163,-0.009697593,5.78791571533843e-05,0.053700976,-0.055363165
GH,,,,,,,,,,,,,,,,,0.303527302,0.054559576,0.133583146,0.169432191,0.120217185,-0.074240016,0.017400671,0.097683147,0.168511392,0.163471983,-0.009675552,0.140000195,0.060174071,0.100800091,0.171143093,0.083886128,0.230927904,0.130723299,0.040883562,0.18103513,0.188475601,0.171954523,-0.134947262,0.100451678,0.16754011,0.095115975,0.013925541,0.004622065,0.047963127,0.00027028,0.173817283,-0.038535856,-0.060936562,0.092536474,-0.043502393,0.308008398,0.1615258,0.02650696,0.044436941,0.072656874,-0.018631066
GZ,,,,,,,,,,,,,,,,,,9.51623495694109e-05,-0.002100153,0.029932302,0.01286278,-0.128174848,-0.090266426,-0.03724677,0.024883958,0.029108175,-0.101604518,0.001315784,-0.058871153,-0.032179431,0.027908871,0.003145155,0.095566131,0.003007119,-0.040757887,0.032392721,0.046966757,0.02706853,-0.207886429,-0.011365864,0.029859061,0.020348173,-0.00760495,-0.101713213,-0.059768439,-0.075453142,0.039126347,-0.096013722,-0.151971453,-0.037213933,-0.090498803,0.206117876,0.023575774,-0.019192779,-0.012952635,-0.066812386,-0.080431579
HW,,,,,,,,,,,,,,,,,,,0.284861521,0.129392645,0.071348793,-0.127989007,-0.03514603,0.047919167,0.132546618,0.124235013,-0.065746865,0.097059255,-0.004113749,0.051567153,0.127288981,0.034669405,0.175654444,0.093604347,-0.010914461,0.13874409,0.143283494,0.134730229,-0.192248794,0.03458496,0.122238694,0.039942888,-0.038999405,-0.050346759,-0.004784955,-0.053786414,0.128365993,-0.092536261,-0.114281034,0.043862735,-0.100145683,0.239134781,0.124465939,-0.030556614,-0.00585892,0.018280904,-0.070201558
IN,,,,,,,,,,,,,,,,,,,,0.225993218,0.105602747,-0.10840979,-0.012107673,0.081991471,0.17292468,0.15720033,-0.039655848,0.123623287,0.02670562,0.085147979,0.170842465,0.067865546,0.214052504,0.12397581,0.034359351,0.172887488,0.187744282,0.175639559,-0.175832179,0.064137858,0.170880353,0.068118431,-0.013112119,-0.018027232,0.025057223,-0.030813711,0.154047318,-0.070808335,-0.088708281,0.082754196,-0.078361591,0.274866012,0.160133621,0.001929718,0.017213154,0.058096742,-0.044414298
IR,,,,,,,,,,,,,,,,,,,,,0.326475802,-0.099230834,-0.047594238,0.037298285,0.099945457,0.100919459,-0.062186717,0.075058039,-0.000111972,0.037872941,0.10475668,0.06733667,0.169534731,0.072042143,2.14634913290324e-05,0.108396039,0.122806664,0.097564903,-0.185898912,0.035330203,0.105763601,0.107950197,0.010924019,-0.051478139,-0.005391978,-0.045839477,0.109607529,-0.055273261,-0.110554757,0.034430587,-0.069281515,0.279038949,0.104032191,0.030571263,0.066569549,0.008233043,-0.056009119
JJ,,,,,,,,,,,,,,,,,,,,,,0.25449342,-0.184178972,-0.166406696,-0.110285084,-0.106398811,-0.179778954,-0.126386636,-0.16074544,-0.163610603,-0.103006327,-0.089072969,-0.034342432,-0.122172765,-0.129679872,-0.104039604,-0.091673612,-0.112165409,-0.256239932,-0.101984541,-0.106414882,-0.055910648,-0.086291046,-0.193249929,-0.164016962,-0.142730032,-0.087709355,0.165653283,-0.223761308,-0.174345291,-0.127339087,0.114299425,-0.11155172,-0.086382299,-0.087112044,-0.197257328,-0.143920217
JK,,,,,,,,,,,,,,,,,,,,,,,0.081906474,-0.06841443,-0.015993149,-0.018129282,-0.11035078,-0.041328126,-0.067444211,-0.069817077,-0.017800355,-0.068742252,0.04348218,-0.03929666,-0.096146564,-0.008761746,0.002167984,-0.01580373,-0.209735654,-0.022726387,-0.016276172,-0.060142308,-0.109102526,-0.110256071,-0.093097483,-0.130095227,-0.007773799,-0.153468707,-0.162853419,-0.082678473,-0.160070309,0.147194835,-0.02111598,-0.10428613,-0.092896798,-0.088840163,-0.136119719
KK,,,,,,,,,,,,,,,,,,,,,,,,0.080938583,0.083435482,0.079517434,-0.096608886,0.051606636,-0.033701488,0.074906753,0.085512831,-0.012496386,0.142599039,0.041206723,-0.051524778,0.088258421,0.100736481,0.076495118,-0.23191214,0.00325708,0.080536419,-0.007356338,-0.085357631,-0.084927206,-0.038756109,-0.092968117,0.088296697,-0.133628242,-0.149010374,0.054734376,-0.145801461,0.202950102,0.080479495,-0.071876269,-0.059328506,0.067340248,-0.108795743
LA,,,,,,,,,,,,,,,,,,,,,,,,,0.220546787,0.157474583,-0.040792278,0.127347131,0.023998675,0.084690626,0.170417397,0.061189047,0.209215498,0.161662241,0.019070046,0.173894817,0.18579681,0.163966345,-0.178951965,0.063716777,0.164339273,0.058396082,-0.020053689,-0.028715547,0.023561482,-0.035085201,0.159774045,-0.073600299,-0.092969998,0.078493359,-0.086000661,0.265995781,0.16798957,-0.006470687,0.00866723,0.053914134,-0.052719339
LC,,,,,,,,,,,,,,,,,,,,,,,,,,0.202953233,-0.039814637,0.117873129,0.025976816,0.077961048,0.158981345,0.056615681,0.204289732,0.115821297,0.017797481,0.163237397,0.1753128,0.157678662,-0.174992022,0.057876796,0.161569842,0.061536192,-0.018169439,-0.02637468,0.026491788,-0.028967104,0.154864984,-0.070967697,-0.090080585,0.073332169,-0.078501242,0.271362277,0.152458749,-0.002889213,0.012072657,0.046672896,-0.048731916
LP,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050823555,-0.060531409,-0.095007292,-0.09544567,-0.038687837,-0.084690188,0.021533021,-0.058759535,-0.104470642,-0.035163901,-0.0202885,-0.043897915,-0.202940442,-0.031155867,-0.041091046,-0.066117155,-0.116904557,-0.12653371,-0.107773283,-0.130030247,-0.019476294,-0.149571127,-0.16466864,-0.102775872,-0.156381122,0.13684156,-0.043213992,-0.109654445,-0.105191512,-0.118609019,-0.140680531
MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269443034,0.002096441,0.050878098,0.127563356,0.028996229,0.181744121,0.086740945,-0.005094559,0.141398017,0.145286376,0.112644363,-0.18760227,0.043271129,0.126002492,0.034579992,-0.04589499,-0.044146711,0.000672018,-0.049180374,0.147840911,-0.092379782,-0.108496648,0.043186418,-0.104864119,0.241819358,0.1261429,-0.033244319,-0.010089701,0.020386511,-0.074220265
